FirstName,SecondName,4-LetterCode
Abert's,Towhee,ABTO
Acadian,Flycatcher,ACFL
Acorn,Woodpecker,ACWO
Adelaide's,Warbler,ADWA
African,Collared-Dove,AFCD
African,Silverbill,AFSI
Agami,Heron,AGHE
Ainley's,Storm-Petrel,AISP
Akekee,,AKEK
Akiapolaau,,AKIA
Akikiki,,AKIK
Akohekohe,,AKOH
Alder,Flycatcher,ALFL
Aleutian,Tern,ALTE
Allen's,Hummingbird,ALHU
Alpine,Swift,ALSW
Altamira,Oriole,ALOR
Altamira,Yellowthroat,ALYE
Amaui,,AMAU
Amazon,Kingfisher,AMKI
American,Avocet,AMAV
American,Bittern,AMBI
American Black,Duck,ABDU
American,Coot,AMCO
American,Crow,AMCR
American,Dipper,AMDI
American,Flamingo,AMFL
American,Golden-Plover,AMGP
American,Goldfinch,AMGO
American,Kestrel,AMKE
American,Oystercatcher,AMOY
American,Pipit,AMPI
American Pygmy,Kingfisher,APKI
American,Redstart,AMRE
American,Robin,AMRO
American Three-toed,Woodpecker,ATTW
American Tree,Sparrow,ATSP
American White,Pelican,AWPE
American,Wigeon,AMWI
American,Woodcock,AMWO
Amethyst-throated,Mountain-gem,ATMG
Ancient,Murrelet,ANMU
Anhinga,,ANHI
Anianiau,,ANIA
Anna's,Hummingbird,ANHU
Antillean Crested,Hummingbird,ANCH
Antillean,Euphonia,ANEU
Antillean,Mango,ANMA
Antillean,Nighthawk,ANNI
Antillean,Palm-Swift,ANPS
Antillean,Piculet,ANPI
Antillean,Siskin,ANSI
Apapane,,APAP
Aplomado,Falcon,APFA
Arctic,Loon,ARLO
Arctic,Tern,ARTE
Arctic,Warbler,ARWA
Arizona,Woodpecker,ARWO
Arrowhead,Warbler,ARRW
Ash-throated,Flycatcher,ATFL
Ashy,Storm-Petrel,ASSP
Ashy-faced,Owl,AFOW
Ashy-throated,Chlorospingus,ATCH
Asian Brown,Flycatcher,ABFL
Asian,Rosy-Finch,ASRF
Atitlan,Grebe,ATGR
Atlantic,Puffin,ATPU
Audubon's,Oriole,AUOR
Audubon's,Shearwater,AUSH
Aztec,Rail,AZRA
Aztec,Thrush,AZTH
Azure,Gallinule,AZGA
Azure-crowned,Hummingbird,AZCH
Azure-hooded,Jay,AHJA
Azure-rumped,Tanager,ARTA
Bachman's,Sparrow,BACS
Bachman's,Warbler,BAWA
Bahama,Mockingbird,BAMO
Bahama,Oriole,BAHO
Bahama,Swallow,BAHS
Bahama,Warbler,BAHW
Bahama,Woodstar,BAWO
Bahama,Yellowthroat,BAYE
Baikal,Teal,BATE
Baird's,Junco,BAJU
Baird's,Sandpiper,BASA
Baird's,Sparrow,BAIS
Baird's,Trogon,BATR
Bald,Eagle,BAEA
Balsas,Screech-Owl,BASO
Baltimore,Oriole,BAOR
Bananaquit,,BANA
Band-backed,Wren,BABW
Band-rumped,Storm-Petrel,BSTP
Band-rumped,Swift,BRSW
Band-tailed,Barbthroat,BTBA
Band-tailed,Pigeon,BTPI
Banded,Quail,BAQU
Banded,Wren,BANW
Bank,Swallow,BANS
Bar-tailed,Godwit,BTGO
Bar-winged,Oriole,BWOR
Barbados,Bullfinch,BABU
Barbuda,Warbler,BARW
Bare-crowned,Antbird,BACA
Bare-legged,Owl,BLOW
Bare-necked,Umbrellabird,BNUM
Bare-shanked,Screech-Owl,BSSO
Bare-throated,Tiger-Heron,BTTH
Barn,Owl,BANO
Barn,Swallow,BARS
Barnacle,Goose,BARG
Barolo,Shearwater,BASH
Barred,Antshrike,BAAN
Barred,Becard,BABE
Barred,Forest-Falcon,BAFF
Barred,Hawk,BAHA
Barred,Owl,BADO
Barred,Parakeet,BAPA
Barred,Puffbird,BAPU
Barrow's,Goldeneye,BAGO
Bat,Falcon,BAFA
Bay,Wren,BAYW
Bay-breasted,Cuckoo,BBRC
Bay-breasted,Warbler,BBWA
Bay-headed,Tanager,BHTA
Bearded,Screech-Owl,BESO
Bearded,Wood-Partridge,BEWP
Beautiful,Hummingbird,BEAH
Beautiful,Treerunner,BETR
Bee,Hummingbird,BEEH
Belcher's,Gull,BEGU
Belding's,Yellowthroat,BEYE
Bell's,Sparrow,BESP
Bell's,Vireo,BEVI
Belted,Flycatcher,BEFL
Belted,Kingfisher,BEKI
Bendire's,Thrasher,BETH
Bermuda,Petrel,BEPE
Berylline,Hummingbird,BEHU
Bewick's,Wren,BEWR
Bicknell's,Thrush,BITH
Bicolored,Antbird,BIAN
Bicolored,Hawk,BIHA
Bicolored,Wren,BIWR
Bishop's,Oo,BIOO
Black,Antshrike,BLAN
Black,Catbird,BLCA
Black,Francolin,BLFR
Black,Guan,BLAG
Black,Guillemot,BLGU
Black,Hawk-Eagle,BLHE
Black,Kite,BLAK
Black,Mamo,BLMA
Black,Noddy,BLNO
Black,Oropendola,BLOR
Black,Oystercatcher,BLOY
Black,Phoebe,BLPH
Black,Rail,BLRA
Black,Rosy-Finch,BLRF
Black,Scoter,BLSC
Black,Skimmer,BLSK
Black,Storm-Petrel,BLSP
Black,Swift,BLSW
Black,Tern,BLTE
Black,Thrush,BLTH
Black,Turnstone,BLTU
Black,Vulture,BLVU
Black-and-white,Becard,BAWB
Black-and-white,Hawk-Eagle,BAWH
Black-and-white,Owl,BLWO
Black-and-white,Warbler,BAWW
Black-and-yellow,Silky-flycatcher,BAYS
Black-and-yellow,Tanager,BAYT
Black-backed,Oriole,BBOR
Black-backed,Woodpecker,BBWO
Black-banded,Woodcreeper,BBNW
Black-bellied,Hummingbird,BLBH
Black-bellied,Plover,BBPL
Black-bellied,Storm-Petrel,BBSP
Black-bellied,Whistling-Duck,BBWD
Black-bellied,Wren,BBEW
Black-billed,Cuckoo,BBCU
Black-billed,Flycatcher,BLBF
Black-billed,Magpie,BBMA
Black-billed,Nightingale-Thrush,BBNT
Black-billed,Parrot,BBPA
Black-breasted,Puffbird,BBPU
Black-breasted,Wood-Quail,BBWQ
Black-browed,Albatross,BBAL
Black-capped,Chickadee,BCCH
Black-capped,Donacobius,BCDO
Black-capped,Flycatcher,BCAF
Black-capped,Gnatcatcher,BCGN
Black-capped,Petrel,BCPE
Black-capped,Pygmy-Tyrant,BPYT
Black-capped,Siskin,BCSI
Black-capped,Swallow,BCSW
Black-capped,Vireo,BCVI
Black-cheeked,Ant-Tanager,BCAT
Black-cheeked,Warbler,BCWA
Black-cheeked,Woodpecker,BCWO
Black-chested,Jay,BCHJ
Black-chested,Sparrow,BCHS
Black-chinned,Hummingbird,BCHU
Black-chinned,Sparrow,BCSP
Black-collared,Hawk,BCHA
Black-cowled,Oriole,BCOR
Black-crested,Coquette,BCCO
Black-crested,Titmouse,BCTI
Black-crowned,Antpitta,BCAP
Black-crowned,Antshrike,BCAS
Black-crowned,Night-Heron,BCNH
Black-crowned,Palm-Tanager,BPLT
Black-crowned,Tityra,BCRT
Black-eared,Wood-Quail,BEWQ
Black-faced,Antthrush,BFAN
Black-faced,Grassquit,BFGR
Black-faced,Grosbeak,BFAG
Black-faced,Solitaire,BFSO
Black-footed,Albatross,BFAL
Black-headed,Antthrush,BHEA
Black-headed,Brushfinch,BHBR
Black-headed,Grosbeak,BHGR
Black-headed,Gull,BHGU
Black-headed,Nightingale-Thrush,BHNT
Black-headed,Saltator,BHSA
Black-headed,Siskin,BHSI
Black-headed,Tody-Flycatcher,BHTF
Black-headed,Trogon,BHTR
Black-hooded,Antshrike,BHOA
Black-legged,Kittiwake,BLKI
Black-necked,Stilt,BNST
Black-polled,Yellowthroat,BPYE
Black-rumped,Waxbill,BRUW
Black-striped,Sparrow,BSTS
Black-striped,Woodcreeper,BSWO
Black-tailed,Flycatcher,BTFL
Black-tailed,Gnatcatcher,BTGN
Black-tailed,Godwit,BLTG
Black-tailed,Gull,BTGU
Black-tailed,Trogon,BTAT
Black-thighed,Grosbeak,BTGG
Black-throated Blue,Warbler,BTBW
Black-throated,Bobwhite,BTBO
Black-throated Gray,Warbler,BTYW
Black-throated Green,Warbler,BTNW
Black-throated,Jay,BTJA
Black-throated,Magpie-Jay,BTMJ
Black-throated,Mango,BTMA
Black-throated,Shrike-Tanager,BTST
Black-throated,Sparrow,BTSP
Black-throated,Trogon,BTHT
Black-throated,Wren,BTWR
Black-tipped,Cotinga,BTCO
Black-vented,Oriole,BVOR
Black-vented,Shearwater,BVSH
Black-whiskered,Vireo,BWVI
Black-winged,Petrel,BWPE
Black-winged,Stilt,BWST
Blackburnian,Warbler,BLBW
Blackpoll,Warbler,BLPW
Blue,Bunting,BLBU
Blue,Cotinga,BLCO
Blue,Dacnis,BLDA
Blue,Grosbeak,BLGR
Blue Ground,Dove,BGDO
Blue,Jay,BLJA
Blue,Mockingbird,BLMO
Blue Mountain,Vireo,BMVI
Blue,Seedeater,BLSE
Blue-and-gold,Tanager,BAGT
Blue-and-white,Mockingbird,BAWM
Blue-and-white,Swallow,BAWS
Blue-and-yellow,Macaw,BAYM
Blue-black,Grassquit,BGRA
Blue-black,Grosbeak,BGRO
Blue-capped,Hummingbird,BCAH
Blue-capped,Motmot,BCMO
Blue-chested,Hummingbird,BCHH
Blue-crowned,Chlorophonia,BCRC
Blue-crowned,Manakin,BCRM
Blue-footed,Booby,BFBO
Blue-fronted,Parrotlet,BFPA
Blue-gray,Gnatcatcher,BGGN
Blue-gray,Noddy,BGNO
Blue-gray,Tanager,BGTA
Blue-headed,Hummingbird,BHHU
Blue-headed,Parrot,BHEP
Blue-headed,Quail-Dove,BHQD
Blue-headed,Vireo,BHVI
Blue-tailed,Hummingbird,BTAH
Blue-throated,Goldentail,BTRG
Blue-throated,Motmot,BTMO
Blue-throated,Mountain-gem,BTMG
Blue-vented,Hummingbird,BVHU
Blue-winged,Teal,BWTE
Blue-winged,Warbler,BWWA
Bluethroat,,BLUE
Blyth's Reed,Warbler,BREW
Boat-billed,Flycatcher,BOBF
Boat-billed,Heron,BBHE
Boat-tailed,Grackle,BTGR
Bobolink,,BOBO
Bohemian,Waxwing,BOWA
Bonaparte's,Gull,BOGU
Bonin,Petrel,BOPE
Boreal,Chickadee,BOCH
Boreal,Owl,BOOW
Botteri's,Sparrow,BOSP
Boucard's,Wren,BOWR
Brace's,Emerald,BREM
Brambling,,BRAM
Bran-colored,Flycatcher,BCOF
Brandt's,Cormorant,BRAC
Brant,,BRAN
Brewer's,Blackbird,BRBL
Brewer's,Sparrow,BRSP
Bridled,Quail-Dove,BRQD
Bridled,Sparrow,BRIS
Bridled,Tern,BRTE
Bridled,Titmouse,BRTI
Bright-rumped,Attila,BRAT
Bristle-thighed,Curlew,BTCU
Broad-billed,Hummingbird,BBIH
Broad-billed,Motmot,BBMO
Broad-billed,Sandpiper,BBIS
Broad-billed,Tody,BBTO
Broad-tailed,Hummingbird,BTHU
Broad-winged,Hawk,BWHA
Bronze,Mannikin,BRMA
Bronze-olive,Pygmy-Tyrant,BOPT
Bronze-tailed,Plumeleteer,BTPL
Bronzed,Cowbird,BROC
Bronzy,Hermit,BRHE
Brown,Booby,BRBO
Brown,Creeper,BRCR
Brown,Jay,BRJA
Brown,Noddy,BRNO
Brown,Pelican,BRPE
Brown,Shrike,BROS
Brown,Thrasher,BRTH
Brown,Trembler,BRTR
Brown,Violetear,BRVI
Brown-backed,Solitaire,BBSO
Brown-billed,Scythebill,BBSC
Brown-capped,Rosy-Finch,BCRF
Brown-capped,Tyrannulet,BCTY
Brown-capped,Vireo,BCAV
Brown-chested,Martin,BCMA
Brown-crested,Flycatcher,BCFL
Brown-headed,Cowbird,BHCO
Brown-headed,Nuthatch,BHNU
Brown-hooded,Parrot,BHOP
Brown-throated,Parakeet,BTPA
Brownish,Twistwing,BRTW
Bryan's,Shearwater,BRYS
Buff-bellied,Hummingbird,BBEH
Buff-breasted,Flycatcher,BBFL
Buff-breasted,Sandpiper,BBSA
Buff-breasted,Wren,BBRW
Buff-collared,Nightjar,BCNI
Buff-fronted,Foliage-gleaner,BFFG
Buff-fronted,Quail-Dove,BFQD
Buff-necked,Ibis,BNIB
Buff-rumped,Warbler,BURW
Buff-throated,Foliage-gleaner,BTFG
Buff-throated,Saltator,BTSA
Bufflehead,,BUFF
Buffy,Tuftedcheek,BUTU
Buffy-crowned,Wood-Partridge,BCWP
Buller's,Shearwater,BULS
Bullock's,Oriole,BUOR
Bulwer's,Petrel,BUPE
Bumblebee,Hummingbird,BUHU
Burrowing,Owl,BUOW
Bushtit,,BUSH
Bushy-crested,Jay,BCRJ
Cabanis's,Ground-Sparrow,CAGS
Cabanis's,Wren,CABW
Cackling,Goose,CACG
Cactus,Wren,CACW
California,Condor,CACO
California,Gnatcatcher,CAGN
California,Gull,CAGU
California,Quail,CAQU
California,Scrub-Jay,CASJ
California,Thrasher,CATH
California,Towhee,CALT
Calliope,Hummingbird,CAHU
Canada,Goose,CANG
Canada,Jay,CAJA
Canada,Warbler,CAWA
Canebrake,Wren,CAKW
Canivet's,Emerald,CAEM
Canvasback,,CANV
Canyon,Towhee,CANT
Canyon,Wren,CANW
Cape May,Warbler,CMWA
Cape Verde,Shearwater,CVSH
Capped,Heron,CAHE
Carib,Grackle,CAGR
Caribbean,Dove,CADO
Caribbean,Elaenia,CAEL
Caribbean,Martin,CAMA
Carmiol's,Tanager,CATA
Carolina,Chickadee,CACH
Carolina,Parakeet,CAPA
Carolina,Wren,CARW
Caspian,Tern,CATE
Cassia,Crossbill,CACR
Cassin's,Auklet,CAAU
Cassin's,Finch,CAFI
Cassin's,Kingbird,CAKI
Cassin's,Sparrow,CASP
Cassin's,Vireo,CAVI
Cattle,Egret,CAEG
Cattle,Tyrant,CATY
Cave,Swallow,CASW
Cedar,Waxwing,CEDW
Central American,Pygmy-Owl,CAPO
Cerulean,Warbler,CERW
Chapman's,Swift,CHAS
Charming,Hummingbird,CHHU
Chatham,Albatross,CHAL
Checker-throated,Antwren,CTAN
Chestnut,Munia,CHMU
Chestnut-backed,Antbird,CBAN
Chestnut-backed,Chickadee,CBCH
Chestnut-bellied,Cuckoo,CBCU
Chestnut-bellied,Sandgrouse,CBSA
Chestnut-capped,Brushfinch,CCBR
Chestnut-collared,Longspur,CCLO
Chestnut-collared,Swift,CCSW
Chestnut-colored,Woodpecker,CCOW
Chestnut-fronted,Macaw,CFMA
Chestnut-headed,Oropendola,CHOR
Chestnut-sided,Shrike-Vireo,CSSV
Chestnut-sided,Warbler,CSWA
Chihuahuan,Raven,CHRA
Chimney,Swift,CHSW
Chinese,Egret,CHEG
Chinese,Pond-Heron,CHPH
Chinese,Sparrowhawk,CHIS
Chipping,Sparrow,CHSP
Chiriqui,Foliage-gleaner,CHFG
Chiriqui,Quail-Dove,CHQD
Choco,Screech-Owl,CHSO
Choco,Sirystes,CHSI
Choco,Tapaculo,CHTA
Choco,Tinamou,CHTI
Christmas,Shearwater,CHSH
Chuck-will's-widow,,CWWI
Chukar,,CHUK
Cinereous,Becard,CIRB
Cinnamon,Becard,CIMB
Cinnamon,Hummingbird,CIHU
Cinnamon,Teal,CITE
Cinnamon,Woodpecker,CIWO
Cinnamon-bellied,Flowerpiercer,CBFL
Cinnamon-rumped,Seedeater,CRSE
Cinnamon-tailed,Sparrow,CTSP
Citreoline,Trogon,CITR
Citrine,Wagtail,CIWA
Clapper,Rail,CLRA
Clarion,Wren,CLWR
Clark's,Grebe,CLGR
Clark's,Nutcracker,CLNU
Clay-colored,Sparrow,CCSP
Clay-colored,Thrush,CCTH
Cliff,Swallow,CLSW
Cocoa,Thrush,COCT
Cocoa,Woodcreeper,COWO
Cocoi,Heron,COHE
Cocos,Cuckoo,COCC
Cocos,Finch,COFI
Cocos,Flycatcher,COCF
Coiba,Spinetail,COSP
Colima,Pygmy-Owl,CPYO
Colima,Warbler,COLW
Collared,Aracari,COAR
Collared,Forest-Falcon,COFF
Collared,Plover,COPL
Collared,Pratincole,COPR
Collared,Redstart,COLR
Collared,Towhee,COTO
Collared,Trogon,COTR
Colombian,Crake,COLC
Comb,Duck,CODU
Common Black,Hawk,COBH
Common,Chaffinch,CCHA
Common,Chiffchaff,CCHI
Common,Chlorospingus,COCL
Common,Crane,CCRA
Common,Cuckoo,COCU
Common,Eider,COEI
Common,Gallinule,COGA
Common,Goldeneye,COGO
Common,Grackle,COGR
Common,Greenshank,COMG
Common Ground,Dove,CGDO
Common,House-Martin,COHM
Common,Loon,COLO
Common,Merganser,COME
Common,Moorhen,COMO
Common,Murre,COMU
Common,Myna,COMY
Common,Nighthawk,CONI
Common,Pauraque,COPA
Common,Pochard,COMP
Common,Poorwill,COPO
Common,Potoo,CPOT
Common,Raven,CORA
Common,Redpoll,CORE
Common,Redshank,CREH
Common,Redstart,CRET
Common Ringed,Plover,CRPL
Common,Rosefinch,CORO
Common,Sandpiper,COSA
Common,Scoter,COSC
Common,Shelduck,COMS
Common,Snipe,COSN
